post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,is_live,factcheck,shared_post_id,shared_time,shared_user_id,shared_username,shared_post_url,images
502155397837809,"- UN DISCIPLE se reconnaît par son amour pour son prochain
(A ceci tous connaîtront que vous êtes mes disciples, si vous avez de l’amour les uns pour les autres. Jean‬ ‭13:35‬‬‬ )

- UN DISCIPLE N’a pas peur de déplaire aux hommes tant que c’est pour plaire à son DIEU . (Pierre et Jean leur répondirent: Jugez s’il est juste, devant Dieu, de vous obéir plutôt qu’à Dieu; Actes‬ ‭4:19‬ ‭)

- UN DISCIPLE a le fardeau des âmes, pendant un moment il sort de l’église ou de sa zone de confort pour gagner des âmes là où elles se trouvent par amour pour son PÈRE !
( Allez, faites de toutes les nations des disciples, les baptisant au nom du Père, du Fils et du Saint-Esprit, Matthieu‬ ‭28:19‬ ‭)
-
Si tu as ces 3 caractères en toi ,tu es mon frère❤️ , tu es ma sœur d’armes✊❤️ parceque tu es de la grande famille des ""DISCIPLES DE CHRIST"" !

Déclare le
<< je suis et je serai toujours UN DISCIPLE ✊>>

""TOUT ÇA C’EST LE DISCIPOLAT""

On est au Jour J -5 de la sortie de l’album ! Pour ceux qui sont impatients comme moi je vous donne un grand secret 👂

<<L’album sera en réalité disponible le 22 mars à 23h59mn sur YouTube et sur toutes les plateformes de stream 😌.>>

#ALLUMEZ_LA_LUMIÈRE 💽
#on_va_étonner_le_monde 🌐","- UN DISCIPLE se reconnaît par son amour pour son prochain
(A ceci tous connaîtront que vous êtes mes disciples, si vous avez de l’amour les uns pour les autres. Jean‬ ‭13:35‬‬‬ )

- UN DISCIPLE N’a pas peur de déplaire aux hommes tant que c’est pour plaire à son DIEU . (Pierre et Jean leur répondirent: Jugez s’il est juste, devant Dieu, de vous obéir plutôt qu’à Dieu; Actes‬ ‭4:19‬ ‭)

- UN DISCIPLE a le fardeau des âmes, pendant un moment il sort de l’église ou de sa zone de confort pour gagner des âmes là où elles se trouvent par amour pour son PÈRE !
( Allez, faites de toutes les nations des disciples, les baptisant au nom du Père, du Fils et du Saint-Esprit, Matthieu‬ ‭28:19‬ ‭)
-
Si tu as ces 3 caractères en toi ,tu es mon frère❤️ , tu es ma sœur d’armes✊❤️ parceque tu es de la grande famille des ""DISCIPLES DE CHRIST"" !

Déclare le
<< je suis et je serai toujours UN DISCIPLE ✊>>

""TOUT ÇA C’EST LE DISCIPOLAT""

On est au Jour J -5 de la sortie de l’album ! Pour ceux qui sont impatients comme moi je vous donne un grand secret 👂

<<L’album sera en réalité disponible le 22 mars à 23h59mn sur YouTube et sur toutes les plateformes de stream 😌.>>

#ALLUMEZ_LA_LUMIÈRE 💽
#on_va_étonner_le_monde 🌐",,2021-03-18 20:06:48,https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/162608526_502154384504577_6616571925320559310_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&_nc_ohc=tOGRBU_Lr7gAX_LHaPK&_nc_ht=scontent-cdg2-1.xx&tp=14&oh=fc363e5335484bd704e85625738bbac6&oe=60797B87,,,,6814,262,0,https://facebook.com/ksbloomofficiel/posts/502155397837809,,112105906842762,Ks Bloom,False,,,,,,,['https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/162608526_502154384504577_6616571925320559310_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&_nc_ohc=tOGRBU_Lr7gAX_LHaPK&_nc_ht=scontent-cdg2-1.xx&tp=14&oh=fc363e5335484bd704e85625738bbac6&oe=60797B87']
501456827907666,"Jour j -6, RDV Ce 23 MARS pour l’album ""Allumez la lumière"" ! Ça vient forrrt les Disciples !
Merci Oman Nash 🔥❤️

Intro album 👉 : https://youtu.be/qYVDs-ZmJnE
#on_va_étonner_le_Monde 🌐
#ALLUMEZ_LA_LUMIÈRE 💽","Jour j -6, RDV Ce 23 MARS pour l’album ""Allumez la lumière"" ! Ça vient forrrt les Disciples !
Merci Oman Nash 🔥❤️

Intro album 👉 : https://youtu.be/qYVDs-ZmJnE
#on_va_étonner_le_Monde 🌐
#ALLUMEZ_LA_LUMIÈRE 💽",,2021-03-17 20:29:23,,https://video-cdt1-1.xx.fbcdn.net/v/t42.1790-2/159890066_285313399820606_918751641339267054_n.mp4?_nc_cat=109&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=bLqtjx5OdiEAX-wQWQ3&_nc_ht=video-cdt1-1.xx&oh=34f7b5aece61002637159bdcf3d459d3&oe=6054F98D,https://scontent-cdt1-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/151779677_272078831125225_5719205805157524861_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=UjyoS-b92C0AX8iLygr&_nc_ht=scontent-cdt1-1.xx&tp=3&oh=8da09f326e1ff8226cf4f82368215e38&oe=607B3DAA,272077431125365,910,23,0,https://facebook.com/ksbloomofficiel/videos/272077431125365,https://youtu.be/qYVDs-ZmJnE,112105906842762,Ks Bloom,False,,,,,,,[]
500770231309659,"RDV CE MARDI 23 MARS LES DISCIPLES! Dans exactement une semaine (Jour j-7)
pour la sortie de l’album et de l’hymne national des ENFANTS DE DIEU !

J’suis Trop impatient djo !

20 titres !!! #ALLUMEZ_LA_LUMIÈRE💽
#on_va_étonner_le_monde 🌐","RDV CE MARDI 23 MARS LES DISCIPLES! Dans exactement une semaine (Jour j-7)
pour la sortie de l’album et de l’hymne national des ENFANTS DE DIEU !

J’suis Trop impatient djo !

20 titres !!! #ALLUMEZ_LA_LUMIÈRE💽
#on_va_étonner_le_monde 🌐",,2021-03-16 20:13:33,,https://video-cdg2-1.xx.fbcdn.net/v/t42.1790-2/159620883_125495736132594_273198487214875066_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=HuJHpeH8RWwAX80srPO&_nc_ht=video-cdg2-1.xx&oh=d71f7d7fe323c49572495b9ebf8c3471&oe=6054F97B,https://scontent-cdg2-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/148897016_5247110172029334_5195506212652874430_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=fnhJ4kNuqxAAX8cvOos&_nc_ht=scontent-cdg2-1.xx&tp=3&oh=5e53f7cc4071cedff4d1eedcf4caef02&oe=607B57E1,5247101848696833,3251,208,0,https://facebook.com/ksbloomofficiel/videos/5247101848696833,,112105906842762,Ks Bloom,False,,,,,,,[]
500118784708137,"Jour j -8 , RDV Ce 23 MARS pour l’album ""Allumez la lumière"" ! Ça vient forrrt les Disciples !

Intro album 👉 : https://youtu.be/qYVDs-ZmJnE
#on_va_étonner_le_Monde 🌐
#ALLUMEZ_LA_LUMIÈRE 💽","Jour j -8 , RDV Ce 23 MARS pour l’album ""Allumez la lumière"" ! Ça vient forrrt les Disciples !

Intro album 👉 : https://youtu.be/qYVDs-ZmJnE
#on_va_étonner_le_Monde 🌐
#ALLUMEZ_LA_LUMIÈRE 💽",,2021-03-15 20:34:19,,https://video-cdt1-1.xx.fbcdn.net/v/t42.9040-2/159548112_730846010959980_8446281932337814783_n.mp4?_nc_cat=105&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=4NPg3jVwsfcAX8fAX90&_nc_oc=AQlbQtuo2GSIIqqKN_nYcNsd0PGcvf9NODCoe1nbBby8wfB2QuvZGpFuiF_vWYq5PJqwTG60wV47XDnWmeXK8u6j&_nc_ht=video-cdt1-1.xx&oh=13623ac5714eca8d4d0270ea3bebb081&oe=6054FA6F,https://scontent-cdt1-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/154406197_1835932573239371_1544560407898861340_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=3fcYoBH2nJQAX_BCCxR&_nc_ht=scontent-cdt1-1.xx&tp=3&oh=5c189d99338696b5cf12a048d2042365&oe=6079538B,1835931663239462,1057,29,0,https://facebook.com/ksbloomofficiel/videos/1835931663239462,https://youtu.be/qYVDs-ZmJnE,112105906842762,Ks Bloom,False,,,,,,,[]
499471664772849,"LES DISCIPLES Jour J-9 !

Non seulement L’album sort ce 23 mars , mais en plus de ça comme je vous aimes trop 😌voilà une deuxième surprise pour le même jour !

ENFANT DE DIEU (l’hymne nationale) disponible ce 23 Mars sur YouTube à 19h !

""TOUT ÇA C’EST LE DISCIPOLAT""
Intro d’album 👉 : https://youtu.be/qYVDs-ZmJnE
Plus que jamais ! La lumière doit s’allumer !
#allumez_la_lumière 💽
#on_va_étonner_le_monde 🌕","LES DISCIPLES Jour J-9 !

Non seulement L’album sort ce 23 mars , mais en plus de ça comme je vous aimes trop 😌voilà une deuxième surprise pour le même jour !

ENFANT DE DIEU (l’hymne nationale) disponible ce 23 Mars sur YouTube à 19h !

""TOUT ÇA C’EST LE DISCIPOLAT""
Intro d’album 👉 : https://youtu.be/qYVDs-ZmJnE
Plus que jamais ! La lumière doit s’allumer !
#allumez_la_lumière 💽
#on_va_étonner_le_monde 🌕",,2021-03-14 20:47:12,,https://video-cdt1-1.xx.fbcdn.net/v/t42.9040-2/159099632_433036581292591_542213495362130396_n.mp4?_nc_cat=109&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=KvqywhvXvZIAX_ffeeW&_nc_ht=video-cdt1-1.xx&oh=3904a6a1c785412b4da0ac432ff0b676&oe=6054F37F,https://scontent-cdg2-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/153728338_572202407503915_5306069443999488332_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=QJqp_JyXAE0AX9r03FZ&_nc_ht=scontent-cdg2-1.xx&tp=9&oh=90df87f57c35560346f26d77049760a4&oe=60794D73,572201280837361,2064,79,0,https://facebook.com/ksbloomofficiel/videos/572201280837361,https://youtu.be/qYVDs-ZmJnE,112105906842762,Ks Bloom,False,,,,,,,[]
498852138168135,"LES DISCIPLES Jour J-10!
Non seulement L’album sort ce 23 mars , mais en plus de ça comme je vous aimes trop 😌voilà une deuxième surprise pour le même jour !

ENFANT DE DIEU (l’hymne nationale) disponible ce 23 Mars sur YouTube à 19h !

""TOUT ÇA C’EST LE DISCIPOLAT""
Intro d’album 👉 : https://youtu.be/qYVDs-ZmJnE
Plus que jamais ! La lumière doit s’allumer !
#allumez_la_lumière 💽
#on_va_étonner_le_monde 🌕","LES DISCIPLES Jour J-10!
Non seulement L’album sort ce 23 mars , mais en plus de ça comme je vous aimes trop 😌voilà une deuxième surprise pour le même jour !

ENFANT DE DIEU (l’hymne nationale) disponible ce 23 Mars sur YouTube à 19h !

""TOUT ÇA C’EST LE DISCIPOLAT""
Intro d’album 👉 : https://youtu.be/qYVDs-ZmJnE
Plus que jamais ! La lumière doit s’allumer !
#allumez_la_lumière 💽
#on_va_étonner_le_monde 🌕",,2021-03-13 22:28:36,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/160381914_498850531501629_4429280692148285985_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=110474&_nc_ohc=F0XOaJn80YoAX9fEwNe&_nc_ht=scontent-cdt1-1.xx&tp=14&oh=7541a6044db87eef981cc1fe06d7de75&oe=607BDA1A,,,,4705,111,0,https://facebook.com/ksbloomofficiel/posts/498852138168135,https://youtu.be/qYVDs-ZmJnE,112105906842762,Ks Bloom,False,,,,,,,['https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/160381914_498850531501629_4429280692148285985_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=110474&_nc_ohc=F0XOaJn80YoAX9fEwNe&_nc_ht=scontent-cdt1-1.xx&tp=14&oh=7541a6044db87eef981cc1fe06d7de75&oe=607BDA1A']
498045398248809,"C'est reparti !

WhatsApp 👉 : ( groupe déjà remplis 🙏)

23Mars #allumer_la_lumière 💽","C'est reparti !

WhatsApp 👉 : ( groupe déjà remplis 🙏)

23Mars #allumer_la_lumière 💽",,2021-03-12 17:11:49,,https://video-cdt1-1.xx.fbcdn.net/v/t42.1790-2/158725432_1246301279118091_5246500224404641557_n.mp4?_nc_cat=103&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=jA0tlEsm14AAX-tp3TB&_nc_ht=video-cdt1-1.xx&oh=59f26a6e5b8544b1e23ecf978170fe47&oe=60550064,https://scontent-cdg2-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/151808779_1368860893474189_3698038754562460232_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=_ZpMaZ_RpVYAX-GDt_d&_nc_ht=scontent-cdg2-1.xx&tp=3&oh=797d454f538960a41050d8f930f50f5d&oe=607B471E,1368856983474580,4397,137,0,https://facebook.com/ksbloomofficiel/videos/1368856983474580,,112105906842762,Ks Bloom,False,,,,,,,[]
497277911658891,"Combien de fois la vie donne raison à Dieu !
Wilfried ZAHUI ❤️

Hamed BAKAYOKO 🙏
#ALLUMEZ_LA_LUMIÈRE","Combien de fois la vie donne raison à Dieu !
Wilfried ZAHUI ❤️

Hamed BAKAYOKO 🙏
#ALLUMEZ_LA_LUMIÈRE",,2021-03-11 13:26:16,,https://video-cdt1-1.xx.fbcdn.net/v/t42.1790-2/10000000_5198745373530069_3408248525181310386_n.mp4?_nc_cat=106&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=_0yMrSdq6skAX9-DsQO&_nc_ht=video-cdt1-1.xx&oh=731e2c6b5356c83ec20e65826b10ddab&oe=6054F4E3,https://scontent-cdg2-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/154158886_2909283019341056_2922369786881827179_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=-IgxA5i4rdwAX8bECpP&_nc_ht=scontent-cdg2-1.xx&tp=3&oh=248beb2ec2f77e9f08c49e108c642c9f&oe=60797299,2909279956008029,6592,747,0,https://facebook.com/ksbloomofficiel/videos/2909279956008029,,112105906842762,Ks Bloom,False,,,,,,,[]
496855941701088,"CÔTE D’IVOIRE ton Seigneur saura te consoler 🙏
R.I.P son Exellence Hamed BAKAYOKO 💔😔

https://youtu.be/dFCNLqwRBXY","CÔTE D’IVOIRE ton Seigneur saura te consoler 🙏
R.I.P son Exellence Hamed BAKAYOKO 💔😔

https://youtu.be/dFCNLqwRBXY",,2021-03-10 21:09:50,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/159292950_496852431701439_2419187250992913364_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=8i7Ny6u5mUcAX96JyiT&_nc_ht=scontent-cdt1-1.xx&tp=14&oh=ac11dbb208997aa3477c7ccfce3194d8&oe=60795F9A,,,,2155,143,0,https://facebook.com/ksbloomofficiel/posts/496855941701088,https://youtu.be/dFCNLqwRBXY,112105906842762,Ks Bloom,False,,,,,,,['https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/159292950_496852431701439_2419187250992913364_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=8i7Ny6u5mUcAX96JyiT&_nc_ht=scontent-cdt1-1.xx&tp=14&oh=ac11dbb208997aa3477c7ccfce3194d8&oe=60795F9A']
496221168431232,"RDV le 23 MARS...

Pour Précommander appelez dès maintenant ici :
+225 01 03 08 15 14
+225 07 08 78 07 35

L’ALBUM sera officiellement disponible sur #youtube et toutes les plateformes ce 23 Mars

Intro de l’album : https://youtu.be/qYVDs-ZmJnE

#ALLUMEZ_LA_LUMIÈRE 💽
#on_va_etonner_le_monde 🌕","RDV le 23 MARS...

Pour Précommander appelez dès maintenant ici :
+225 01 03 08 15 14
+225 07 08 78 07 35

L’ALBUM sera officiellement disponible sur #youtube et toutes les plateformes ce 23 Mars

Intro de l’album : https://youtu.be/qYVDs-ZmJnE

#ALLUMEZ_LA_LUMIÈRE 💽
#on_va_etonner_le_monde 🌕",,2021-03-09 21:58:11,,https://video-cdt1-1.xx.fbcdn.net/v/t42.1790-2/158404373_142671710986737_6788068747971154408_n.mp4?_nc_cat=110&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=2jMXpvzoc98AX-HenFl&_nc_ht=video-cdt1-1.xx&oh=4cd34115c384dec16848a29dec52843d&oe=6054F2B4,https://scontent-cdt1-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/p320x320/152582433_343292283710574_8776406285654338757_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=gu_-4GOI4H8AX9zEZF6&_nc_ht=scontent-cdt1-1.xx&tp=3&oh=0705be0df1aab90cfde34cc8f2affe99&oe=607B5805,343291420377327,1127,72,0,https://facebook.com/ksbloomofficiel/videos/343291420377327,https://youtu.be/qYVDs-ZmJnE,112105906842762,Ks Bloom,False,,,,,,,[]
